similarity; color
SAME; 10
SAME; 11
SAME; 12
SAME; 13
SAME; 14
SAME; 15
SAME; 16
SAME; 17
SAME; 18
SAME; 19
SAME; 20
SAME; 21
SAME; 22
SAME; 23
SAME; 24
SAME; 25
SAME; 26
SAME; 27
SAME; 28
SAME; 29
SAME; 30
SAME; 31
SAME; 32
SAME; 33
SAME; 34
SAME; 35
SAME; 36
SAME; 37
SAME; 38
SAME; 39
SAME; 4
SAME; 10
SAME; 11
SAME; 12
SAME; 13
SAME; 14
SAME; 15
SAME; 16
SAME; 17
SAME; 18
SAME; 19
SAME; 20
SAME; 21
SAME; 22
SAME; 23
SAME; 24
SAME; 25
SAME; 26
SAME; 27
SAME; 28
SAME; 29
SAME; 30
SAME; 31
SAME; 32
SAME; 33
SAME; 34
SAME; 35
SAME; 36
SAME; 37
SAME; 38
SAME; 39
SAME; 4
SAME; 40
