time; N
48567617; 10
60518449; 11
60957852; 12
59166673; 13
64642537; 14
76821718; 15
73407783; 16
85556451; 17
101314887; 18
106181563; 19
110873386; 20
117785973; 21
134853015; 22
144993821; 23
149899033; 24
340550829; 25
347631479; 26
383491361; 27
171821968; 28
234010913; 29
408122241; 30
222484102; 31
227665339; 32
563142376; 33
278152448; 34
239152317; 35
268496872; 36
274059009; 37
337001320; 38
329751304; 39
21933485; 4
21933485; 4
57566519; 4
21933485; 4
57566519; 4
57566519; 4
53955977; 10
60283087; 11
68115040; 12
63791931; 13
68098710; 14
96966059; 15
80796734; 16
88692801; 17
100460503; 18
105534865; 19
111875461; 20
211689650; 21
208016776; 22
162918041; 23
163430120; 24
187089276; 25
230461277; 26
197648324; 27
171357344; 28
215033771; 29
274034006; 30
319374869; 31
302861842; 32
261186979; 33
244352777; 34
310152584; 35
269465214; 36
326403605; 37
284160576; 38
319441636; 39
26983581; 4
